Date,Transaction Type,Received Quantity,Received Currency,Sent Quantity,Sent Currency,Fee Currency,Fee Amount,Market Value,Source,Internal Transfer,External ID
2019-08-21T08:06:32.000Z,Income,0.015,QKC,,,,,0.00020423373355079347,Binance,FALSE,d46450b3-3d2a-47ad-95cf-31ef3fc8885a
2019-08-21T08:21:13.000Z,Income,0.0002,BTG,,,,,0.002613208138288359,Binance,FALSE,4479b0c3-a3c3-4480-9f75-ac410e3511ac
2019-08-21T13:44:35.000Z,Income,0.1112,SC,,,,,0.00020696022855504334,Binance,FALSE,c300ad88-5780-4c3f-97a5-76d6daaa908f
2019-08-21T14:38:36.000Z,Income,0.11,COCOS,,,,,0.0002553500970295398,Binance,FALSE,3a06517e-3a2d-41b9-b692-0c1ef37afd23
2019-08-21T17:10:14.000Z,Income,0.0068,CONT,,,,,0.000204952,Binance,FALSE,6e55e82c-7b0c-430b-8c90-cf5ebcdbb4db
2019-08-21T19:45:12.000Z,Income,0.000298,ATOM,,,,,0.0007981894799186379,Binance,FALSE,0aec6b5f-eaa9-46bc-a67a-c82b06908969
2019-08-22T06:10:35.000Z,Income,0.0000638,REP,,,,,0.0006087050679275002,Binance,FALSE,8c3f730a-2a13-467e-93d6-056ff28f683b
2019-08-23T04:15:29.000Z,Income,0.0000828,DCR,,,,,0.0020979351399001344,Binance,FALSE,fd5be266-9e57-4102-9ba1-c9a7491a92f2
2019-08-23T13:51:12.000Z,Income,0.0018,BNT,,,,,0.0007051833846388702,Binance,FALSE,210be061-7ec1-473c-9bb5-c411b6b57699
2019-08-23T15:43:56.000Z,Income,0.000552,WTC,,,,,0.0007921384067764944,Binance,FALSE,b4cf83c3-7dc8-4bc6-a67e-7dfd4882d891
2019-08-26T07:41:31.000Z,Income,0.4932,NCASH,,,,,0.0006440145286760403,Binance,FALSE,83d24d9e-34b0-4923-8045-421332d8819e
2019-08-26T19:22:20.000Z,Income,0.053932,MTL,,,,,0.021720821971532082,Binance,FALSE,25e20e63-da9b-45e9-9638-6306b4312743
2019-08-27T17:25:25.000Z,Income,0.0004,MDA,,,,,0.0002652819264813886,Binance,FALSE,b6dba4e4-8e24-4373-af3c-f6e462ebc450
2019-08-28T16:01:10.000Z,Income,0.005,HC,,,,,0.012345298312201996,Binance,FALSE,64c516cf-a9bc-48c6-83b6-b178eebc6388
2019-08-28T16:46:00.000Z,Income,0.0001108,DGD,,,,,0.001895680937355253,Binance,FALSE,bd72e7bc-9d10-49e6-9501-268feecc6e6e
