Date and Time,Transaction Type,Sent Quantity,Sent Currency,Sending Source,Received Quantity,Received Currency,Receiving Destination,Fee,Fee Currency,Exchange Transaction ID,Blockchain Transaction Hash
2020-02-16T15:45:34.000Z,Income,,,,0.00042491,BEAR,Binance,,,,
2020-02-17T10:40:10.000Z,Income,,,,0.00051733,EOSBULL,Binance,,,,
2020-02-18T21:45:51.000Z,Income,,,,0.00000033,XRPBEAR,Binance,,,,
2020-02-20T09:00:20.000Z,Income,,,,0.00122387,ETHBEAR,Binance,,,,
2020-02-21T16:27:12.000Z,Income,,,,1.1174,MBL,Binance,,,,
2020-02-25T14:41:16.000Z,Income,,,,0.00000331,ETHBULL,Binance,,,,
2020-03-03T05:11:48.000Z,Income,,,,0.08834,COTI,Binance,,,,
2020-03-04T15:21:52.000Z,Income,,,,0.00001261,BULL,Binance,,,,
2020-03-11T10:05:00.000Z,Income,,,,0.00077337,BNBBEAR,Binance,,,,
2020-03-13T05:51:06.000Z,Income,,,,0.00101318,BNBBULL,Binance,,,,
2020-03-25T14:55:23.000Z,Income,,,,0.236857,STPT,Binance,,,,
2020-04-01T16:15:14.000Z,Income,,,,1.7686413,XPR,Binance,,,,
2020-04-02T11:48:53.000Z,Income,,,,1.97169,TCT,Binance,,,,
2020-04-10T03:56:06.000Z,Income,,,,45.45454545,SOL,Binance,,,,
2020-04-17T09:01:42.000Z,Income,,,,40.36,IDRT,Binance,,,,
2020-04-23T02:47:03.000Z,Income,,,,0.23247,CTSI,Binance,,,,
2020-04-27T05:00:15.000Z,Income,,,,0.0413813,HIVE,Binance,,,,
2020-04-28T02:50:30.000Z,Income,,,,0.0193478,ZAR,Binance,,,,
2020-05-07T16:01:27.000Z,Income,,,,0.205,CHR,Binance,,,,
2020-06-05T19:48:16.000Z,Income,,,,3.859084,MDT,Binance,,,,
2020-06-06T09:01:34.000Z,Income,,,,0.0160679,BTCDOWN,Binance,,,,
2020-06-08T10:50:04.000Z,Income,,,,0.0007954,BTCUP,Binance,,,,
2020-06-10T07:27:27.000Z,Income,,,,82.50717,STMX,Binance,,,,
2020-06-19T06:46:48.000Z,Income,,,,1.45427,PNT,Binance,,,,
2020-06-20T07:50:31.000Z,Income,,,,12.84489,SGT,Binance,,,,
2020-06-22T21:54:06.000Z,Income,,,,0.147,DGB,Binance,,,,
2020-06-23T08:58:22.000Z,Income,,,,0.02438302,JST,Binance,,,,
2020-06-28T16:02:59.000Z,Income,,,,0.00002178,COMP,Binance,,,,
2020-06-28T19:54:57.000Z,Income,,,,0.026,BGBP,Binance,,,,
2020-07-06T06:20:44.000Z,Income,,,,1.1928,NGN,Binance,,,,
2020-07-07T16:52:39.000Z,Income,,,,0.0194,SXP,Binance,,,,
2020-07-08T11:16:12.000Z,Income,,,,0.102668,GBP,Binance,,,,
2020-07-10T08:20:55.000Z,Income,,,,0.1228668,SNX,Binance,,,,
2020-07-11T13:13:00.000Z,Income,,,,6.1168,BKRW,Binance,,,,
2020-07-13T11:33:47.000Z,Income,,,,21.98,BIDR,Binance,,,,
2020-07-21T15:19:29.000Z,Income,,,,0.51,IRIS,Binance,,,,
2020-07-23T14:00:26.000Z,Income,,,,0.0152,DAI,Binance,,,,
2020-07-23T14:03:56.000Z,Income,,,,0.00000255,MKR,Binance,,,,
2020-07-24T11:55:27.000Z,Income,,,,0.2548,RUNE,Binance,,,,
2020-07-25T10:22:02.000Z,Income,,,,0.010744,ETHDOWN,Binance,,,,
2020-07-31T23:52:53.000Z,Income,,,,0.2028,FIO,Binance,,,,
2020-08-05T15:38:56.000Z,Income,,,,0.029584,AVA,Binance,,,,
2020-08-06T12:07:29.000Z,Income,,,,0.000532,LINKDOWN,Binance,,,,
2020-08-07T17:38:52.000Z,Income,,,,0.010204,LINKUP,Binance,,,,
2020-08-09T01:21:34.000Z,Income,,,,0.003084,BAL,Binance,,,,
2020-08-09T17:15:25.000Z,Income,,,,0.008216,XTZUP,Binance,,,,
2020-08-10T15:04:48.000Z,Income,,,,0.00000076,YFI,Binance,,,,
2020-08-11T13:56:59.000Z,Income,,,,0.00294,SRM,Binance,,,,
2020-08-13T03:46:15.000Z,Income,,,,0.00408,ANT,Binance,,,,
2020-08-14T13:00:29.000Z,Income,,,,0.0784,SAND,Binance,,,,
2020-08-15T05:08:31.000Z,Income,,,,0.00258,CRV,Binance,,,,
2020-08-17T11:31:37.000Z,Income,,,,0.0008,OCEAN,Binance,,,,
2020-08-18T23:41:08.000Z,Income,,,,0.0112,DOT,Binance,,,,
2020-08-19T13:07:03.000Z,Income,,,,0.0136,LUNA,Binance,,,,
2020-08-20T21:37:14.000Z,Income,,,,0.0000696,NMR,Binance,,,,
2020-08-25T22:56:06.000Z,Income,,,,0.4276,RSR,Binance,,,,
2020-08-27T10:00:57.000Z,Income,,,,0.0005768,WNXM,Binance,,,,
2020-08-27T15:42:49.000Z,Income,,,,0.8648,IDEX,Binance,,,,
2020-08-28T00:23:52.000Z,Income,,,,0.0009772,TRB,Binance,,,,
2020-08-29T13:01:06.000Z,Income,,,,0.0504,BZRX,Binance,,,,
2020-09-01T07:24:30.000Z,Income,,,,0.0107356,EGLD,Binance,,,,
2020-09-01T11:08:14.000Z,Income,,,,0.00001563,YFII,Binance,,,,
2020-09-01T11:10:18.000Z,Income,,,,0.00228,SUSHI,Binance,,,,
2020-09-02T11:00:26.000Z,Income,,,,0.0006804,KSM,Binance,,,,
2020-09-02T15:18:10.000Z,Income,,,,0.01678,DIA,Binance,,,,
2020-09-03T15:34:59.000Z,Income,,,,0.000836,ADADOWN,Binance,,,,
2020-09-09T19:46:56.000Z,Income,,,,0.0102984,UMA,Binance,,,,
2020-09-10T08:28:17.000Z,Income,,,,0.007936,TRXUP,Binance,,,,
2020-09-12T09:38:52.000Z,Income,,,,30.063728,NBS,Binance,,,,
2020-09-12T12:22:44.000Z,Income,,,,0.0014883,BNBDOWN,Binance,,,,
2020-09-15T08:54:16.000Z,Income,,,,0.0016031,BEL,Binance,,,,
2020-09-15T15:35:26.000Z,Income,,,,0.0013325,BNBUP,Binance,,,,
2020-09-16T04:33:32.000Z,Income,,,,0.000246,WING,Binance,,,,
2020-09-17T03:37:31.000Z,Income,,,,0.00533,UNI,Binance,,,,
2020-09-17T12:55:20.000Z,Income,,,,0.0012341,ADAUP,Binance,,,,
2020-09-21T14:37:58.000Z,Income,,,,0.01107,OXT,Binance,,,,
2020-09-22T07:42:26.000Z,Income,,,,0.003198,AVAX,Binance,,,,
2020-09-25T11:26:47.000Z,Income,,,,0.0174742,HNT,Binance,,,,
2020-09-27T23:39:43.000Z,Income,,,,0.00000759,WBTC,Binance,,,,
2020-09-28T07:00:13.000Z,Income,,,,0.0782034,FLM,Binance,,,,
2020-09-29T06:54:53.000Z,Income,,,,0.73148,SCRT,Binance,,,,
2020-09-30T11:36:31.000Z,Income,,,,0.0025051,ORN,Binance,,,,
2020-10-06T05:04:21.000Z,Income,,,,0.0117875,XVS,Binance,,,,
2020-10-09T09:30:13.000Z,Income,,,,0.00984,UTK,Binance,,,,
2020-10-09T10:39:18.000Z,Income,,,,0.00041,SUN,Binance,,,,
2020-10-09T14:00:25.000Z,Income,,,,0.0063919,VIDT,Binance,,,,
2020-10-10T05:01:21.000Z,Income,,,,0.048913,ALPHA,Binance,,,,
2020-10-13T10:35:27.000Z,Income,,,,0.0493845,CAKE,Binance,,,,
2020-10-13T10:51:32.000Z,Income,,,,0.71848924,AAVE,Binance,,,,
2020-10-14T14:01:53.000Z,Income,,,,2.9174288,NEAR,Binance,,,,
2020-10-14T17:56:33.000Z,Income,,,,0.0315413,UNIUP,Binance,,,,
2020-10-15T17:28:50.000Z,Income,,,,0.0019106,FIL,Binance,,,,
2020-10-21T04:09:12.000Z,Income,,,,0.068019,INJ,Binance,,,,
2020-10-23T14:49:58.000Z,Income,,,,0.0158219,EASY,Binance,,,,
2020-10-24T06:02:10.000Z,Income,,,,0.167034,AUDIO,Binance,,,,
2020-10-27T08:02:15.000Z,Income,,,,0.0020828,CTK,Binance,,,,
2020-10-27T08:32:06.000Z,Income,,,,7.99049,IQ,Binance,,,,
2020-11-05T13:42:48.000Z,Income,,,,0.0034251,YFIUP,Binance,,,,
2020-11-05T18:59:25.000Z,Income,,,,0.0008358,DOTUP,Binance,,,,
2020-11-06T12:10:07.000Z,Income,,,,0.0015162,FILUP,Binance,,,,
2020-11-06T13:38:26.000Z,Income,,,,0.0042066,UNIDOWN,Binance,,,,
2020-11-08T09:14:59.000Z,Income,,,,0.109019,AXS,Binance,,,,
2020-11-09T16:49:34.000Z,Income,,,,0.04982414,UAH,Binance,,,,
2020-11-10T02:35:09.000Z,Income,,,,0.004674,HARD,Binance,,,,
2020-11-10T16:06:39.000Z,Income,,,,3.29107,SLP,Binance,,,,
2020-11-10T17:50:12.000Z,Income,,,,0.5125,SPARTA,Binance,,,,
2020-11-11T19:15:13.000Z,Income,,,,0.51004,AKRO,Binance,,,,
2020-11-13T05:17:48.000Z,Income,,,,0.475623,BRL,Binance,,,,
2020-11-15T15:20:25.000Z,Income,,,,0.0080278,YFIDOWN,Binance,,,,
2020-11-16T12:02:02.000Z,Income,,,,0.5244687,STRAX,Binance,,,,
2020-11-16T15:57:22.000Z,Income,,,,0.00714139,BCHA,Binance,,,,
2020-11-17T09:22:15.000Z,Income,,,,0.0000252,ETHUP,Binance,,,,
2020-11-18T15:01:21.000Z,Income,,,,0.04797,FRONT,Binance,,,,
2020-11-19T04:36:29.000Z,Income,,,,0.0041984,SWRV,Binance,,,,
2020-11-19T13:40:19.000Z,Income,,,,0.502045,ROSE,Binance,,,,
2020-11-19T19:00:56.000Z,Income,,,,0.0308935,UNFI,Binance,,,,
2020-11-24T06:09:45.000Z,Income,,,,0.0238292,SXPUP,Binance,,,,
2020-11-24T10:04:02.000Z,Income,,,,0.0034276,EOSDOWN,Binance,,,,
2020-11-24T11:19:51.000Z,Income,,,,0.0002255,XRPUP,Binance,,,,
2020-11-25T06:03:11.000Z,Income,,,,0.0895932,XRPDOWN,Binance,,,,
2020-11-27T01:20:50.000Z,Income,,,,0.00034645,KP3R,Binance,,,,
2020-11-27T07:43:45.000Z,Income,,,,0.0004284,AAVEUP,Binance,,,,
2020-11-27T09:36:01.000Z,Income,,,,0.02714607,AUD,Binance,,,,
2020-11-29T08:35:24.000Z,Income,,,,0.70807,BAKE,Binance,,,,
2020-12-01T02:11:26.000Z,Income,,,,0.06068,SKL,Binance,,,,
2020-12-02T19:20:00.000Z,Income,,,,0.004879,LTCDOWN,Binance,,,,
2020-12-05T05:16:15.000Z,Income,,,,0.00001289,COVER,Binance,,,,
2020-12-08T14:35:35.000Z,Income,,,,0.0009676,CREAM,Binance,,,,
2020-12-08T16:56:09.000Z,Income,,,,0.0068,GLM,Binance,,,,
2020-12-11T07:11:29.000Z,Income,,,,0.01763,GHST,Binance,,,,
2020-12-16T21:49:36.000Z,Income,,,,0.00001435,BOT,Binance,,,,
2020-12-17T20:30:11.000Z,Income,,,,0.273347,GRT,Binance,,,,
2020-12-20T21:47:17.000Z,Income,,,,0.40508,FOR,Binance,,,,
2020-12-21T06:00:24.000Z,Income,,,,0.00152028,PSG,Binance,,,,
2020-12-21T06:00:50.000Z,Income,,,,0.00077777,JUV,Binance,,,,
2020-12-21T11:49:28.000Z,Income,,,,100,TWT,Binance,,,,
2020-12-25T08:30:44.000Z,Income,,,,0.0150798,1INCH,Binance,,,,
2020-12-28T07:19:10.000Z,Income,,,,0.0336446,DOTDOWN,Binance,,,,
2020-12-28T12:01:19.000Z,Income,,,,0.0077754,CBK,Binance,,,,
2020-12-29T06:00:14.000Z,Income,,,,1.30134,REEF,Binance,,,,
2020-12-30T07:18:08.000Z,Income,,,,0.00203811,OG,Binance,,,,
2020-12-30T15:01:32.000Z,Income,,,,0.00082,ATM,Binance,,,,
2021-01-01T14:18:10.000Z,Income,,,,0.12421199,ONX,Binance,,,,
2021-01-01T15:01:32.000Z,Income,,,,0.00072915,COVEROLD,Binance,,,,
2021-01-01T17:05:10.000Z,Income,,,,0.00896506,ASR,Binance,,,,
2021-01-05T05:20:44.000Z,Income,,,,0.0927297,EOSUP,Binance,,,,
2021-01-05T08:55:51.000Z,Income,,,,0.0108035,CELO,Binance,,,,
